Conf,AT,ET,1,4,5,8,12,13,14,15,17,18,19,25
Par.COV,73.6,71.5,48.65,61.19,69.72,68.48,68.88,68.88,68.88,68.88,67.77,68.88,55.46,53.52
Par.ST,74.55,71.5,48.65,61.19,69.72,68.48,68.88,68.88,68.88,68.88,67.77,68.88,55.46,53.52
Par.COM,74.55,71.5,48.65,61.19,69.72,68.48,68.88,68.88,68.88,68.88,67.77,68.88,55.46,53.52
Tot.COV,74.55,71.5,48.65,61.19,69.72,68.48,68.88,68.88,68.88,68.88,67.77,68.88,55.46,53.52
Tot.ST,72.1,69.98,48.65,61.19,69.72,68.48,68.88,68.88,68.88,68.88,67.77,68.88,51.03,53.52
Tot.COM,74.55,71.5,48.65,61.19,69.72,68.48,68.88,68.88,68.88,68.88,67.77,68.88,55.46,53.52
